2020年6月,05201 秋田市,2020000606,Akita,0.37,0.9,0.69,514,204,412,549,616,997,246,227,984,340,148932,20.9,75,210.5
2020年7月,05201 秋田市,2020000707,Akita,0.33,0.97,0.75,466,209,433,838,819,1367,101,251,1005,248,155552,23,85,104.7
2020年8月,05201 秋田市,2020000808,Akita,0.24,1.12,0.84,485,195,420,989,581,2515,80,241,996,241,158291,26.2,80,185.1
2020年9月,05201 秋田市,2020000909,Akita,0.2,1.1,0.88,387,179,437,646,340,1670,235,175,1165,279,143425,22.9,75,203.9
2020年10月,05201 秋田市,2020001010,Akita,0.17,1.15,0.93,398,201,489,1339,486,1253,151,278,548,193,169605,14.5,75,107.7
2020年11月,05201 秋田市,2020001111,Akita,0.17,1.1,0.88,447,188,500,928,840,1332,144,507,759,229,172354,8.9,74,73.2
2020年12月,05201 秋田市,2020001212,Akita,0.2,1.14,0.93,457,206,517,1495,781,1934,641,637,1050,363,227268,2.3,75,37.5
2021年1月,05201 秋田市,2021000101,Akita,0.24,1.09,0.9,517,236,550,674,585,1071,547,484,1031,366,164625,-0.4,76,51
2021年2月,05201 秋田市,2021000202,Akita,0.37,0.98,0.86,418,191,508,925,523,1093,436,210,749,522,141459,1.7,73,66.5
2021年3月,05201 秋田市,2021000303,Akita,0.39,0.94,0.83,474,219,601,718,886,758,386,221,1086,411,177256,6.5,70,131.7
2021年4月,05201 秋田市,2021000404,Akita,0.44,0.94,0.83,445,208,485,528,701,768,478,163,696,412,148775,10.1,68,209
2021年5月,05201 秋田市,2021000505,Akita,0.49,0.96,0.84,475,241,538,637,458,1040,392,276,967,620,156460,15.4,77,156
2021年6月,05201 秋田市,2021000606,Akita,0.46,1,0.82,446,217,487,585,783,861,435,341,717,424,158558,20.8,74,243.2
2021年7月,05201 秋田市,2021000707,Akita,0.53,0.95,0.8,464,167,455,581,674,1041,203,302,963,507,163855,26,75,259.4
2021年8月,05201 秋田市,2021000808,Akita,0.4,1.01,0.83,419,187,454,585,405,1248,246,328,1318,642,150150,25.5,78,158.9
2021年9月,05201 秋田市,2021000909,Akita,0.37,0.99,0.79,436,210,445,490,395,790,122,388,1585,626,145444,21,72,205.1
2021年10月,05201 秋田市,2021001010,Akita,0.35,0.98,0.78,424,211,476,479,580,963,333,362,1318,690,157491,14.8,79,130.8
2021年11月,05201 秋田市,2021001111,Akita,0.55,0.88,0.69,420,177,474,876,598,997,159,510,1209,697,146672,10.1,77,103.2
